grid_id,external_id_type,external_id
grid.4756.0,Wikidata,Q289348
grid.4764.1,ISNI,0000 0001 2186 1887
grid.4764.1,OrgRef,336112
grid.4764.1,Wikidata,Q470438
grid.4764.1,Wikidata,Q28738259
grid.4777.3,ISNI,0000 0004 0374 7521
grid.4777.3,FundRef,501100000873
grid.4777.3,HESA,0184
grid.4777.3,UCAS,Q75
grid.4777.3,UKPRN,10005343
grid.4777.3,OrgRef,322010
grid.4777.3,OrgRef,20026539
grid.4777.3,Wikidata,Q877925
grid.4793.9,ISNI,0000000109457005
grid.4793.9,FundRef,501100006470
grid.4793.9,FundRef,501100002665
grid.4793.9,OrgRef,715160
grid.4793.9,Wikidata,Q667568
grid.4795.f,ISNI,0000 0001 2157 7667
grid.4795.f,FundRef,501100002911
grid.4795.f,OrgRef,90168
grid.4795.f,Wikidata,Q219694
grid.4800.c,ISNI,0000 0004 1937 0343
grid.4800.c,OrgRef,911906
grid.4800.c,Wikidata,Q392897
grid.4807.b,ISNI,0000 0001 2187 3167
grid.4807.b,OrgRef,20240005
grid.4807.b,Wikidata,Q781108
grid.4808.4,ISNI,0000 0001 0657 4636
grid.4808.4,FundRef,100008993
grid.4808.4,OrgRef,899111
grid.4808.4,OrgRef,26203630
grid.4808.4,OrgRef,29795002
grid.4808.4,OrgRef,35767269
grid.4808.4,OrgRef,32877581
grid.4808.4,OrgRef,29660589
grid.4808.4,OrgRef,40101201
grid.4808.4,OrgRef,6914161
grid.4808.4,OrgRef,47003043
grid.4808.4,OrgRef,11292111
grid.4808.4,OrgRef,18814781
grid.4808.4,OrgRef,40095270
grid.4808.4,OrgRef,30417975
grid.4808.4,Wikidata,Q675848
grid.4817.a,OrgRef,2153532
grid.4817.a,Wikidata,Q259388
grid.4818.5,ISNI,0000 0001 0791 5666
grid.4818.5,FundRef,501100006626
grid.4818.5,FundRef,501100001830
grid.4818.5,FundRef,501100004890
grid.4818.5,FundRef,501100004891
grid.4818.5,OrgRef,1229913
grid.4818.5,Wikidata,Q422208
grid.4819.4,ISNI,0000 0001 0704 7467
grid.4819.4,OrgRef,9036235
grid.4819.4,Wikidata,Q1622145
grid.4825.b,ISNI,0000 0004 0641 9240
grid.4825.b,FundRef,100009111
grid.4825.b,OrgRef,2796232
grid.4825.b,Wikidata,Q1657069
grid.4827.9,ISNI,0000 0001 0658 8800
grid.4827.9,FundRef,501100001317
grid.4827.9,HESA,0180
grid.4827.9,UCAS,S93
grid.4827.9,UKPRN,10007855
grid.4827.9,OrgRef,318040
grid.4827.9,Wikidata,Q1420500
grid.4830.f,ISNI,0000 0004 0407 1981
grid.4830.f,FundRef,501100001721
grid.4830.f,FundRef,501100001903
grid.4830.f,OrgRef,255460
grid.4830.f,Wikidata,Q850730
grid.4830.f,Wikidata,Q2303629
grid.4831.e,ISNI,0000 0001 0682 2580
grid.4834.b,ISNI,0000 0004 0635 685X
grid.4834.b,OrgRef,2696935
grid.4834.b,Wikidata,Q953914
grid.4834.b,Wikidata,Q39633068
grid.4836.9,ISNI,0000 0004 0633 9072
grid.4836.9,FundRef,100007626
grid.4836.9,Wikidata,Q7727247
grid.4839.6,ISNI,0000 0001 2323 852X
grid.4839.6,OrgRef,3767306
grid.4839.6,Wikidata,Q1857293
grid.4842.a,ISNI,0000 0000 9258 5931
grid.4842.a,OrgRef,1082743
grid.4842.a,Wikidata,Q1712507
grid.4843.b,ISNI,0000 0001 1703 001X
grid.4843.b,OrgRef,21842389
grid.4843.b,Wikidata,Q1408031
grid.4858.1,ISNI,0000 0001 0208 7216
grid.4858.1,OrgRef,502320
grid.4858.1,Wikidata,Q1867222
grid.4861.b,ISNI,0000 0001 0805 7253
grid.4861.b,FundRef,501100005627
grid.4861.b,FundRef,501100006673
grid.4861.b,OrgRef,2273279
grid.4861.b,Wikidata,Q1334582
grid.4862.8,ISNI,0000 0001 0729 939X
grid.4862.8,FundRef,100009324
grid.4862.8,HESA,0087
grid.4862.8,UCAS,G53
grid.4862.8,UKPRN,10007833
grid.4862.8,OrgRef,975096
grid.4862.8,Wikidata,Q3400501
grid.4868.2,ISNI,0000 0001 2171 1133
grid.4868.2,FundRef,100009148
grid.4868.2,FundRef,501100005313
grid.4868.2,FundRef,100009149
grid.4868.2,FundRef,501100000851
grid.4868.2,HESA,0139
grid.4868.2,UCAS,Q50
grid.4868.2,UKPRN,10007775
grid.4868.2,OrgRef,422461
grid.4868.2,OrgRef,504928
grid.4868.2,Wikidata,Q195668
grid.4886.2,ISNI,0000 0001 2192 9124
grid.4886.2,FundRef,501100002674
grid.4886.2,OrgRef,374556
grid.4886.2,Wikidata,Q83172
grid.4886.2,Wikidata,Q1981482
grid.4903.e,ISNI,0000 0001 2097 4353
grid.4903.e,FundRef,501100001296
grid.4903.e,OrgRef,26304
grid.4903.e,Wikidata,Q18748726
grid.4905.8,ISNI,0000 0004 0635 7705
grid.4905.8,FundRef,501100007259
grid.4905.8,OrgRef,4763329
grid.4905.8,Wikidata,Q7383690
grid.4912.e,ISNI,0000 0004 0488 7120
grid.4912.e,OrgRef,1804872
grid.4912.e,Wikidata,Q1124228
grid.4929.6,ISNI,0000 0001 2191 4117
