grid_id,alias
grid.19006.3e,University of California at Los Angeles
grid.19006.3e,University of California Southern Branch
grid.19006.3e,State Normal School at Los Angeles
grid.19100.39,Nii Society
grid.19169.36,Norsk Institutt for Luftforskning
grid.19190.30,Vytauto Didžiojo Universitetas
grid.19214.3f,London Transport
grid.19241.3f,ARC Fund
grid.19397.35,Vasa universitet
grid.19397.35,Vaasan yliopisto
grid.19477.3c,Norges miljø- og biovitenskapelige universitet
grid.19723.3e,Universitatea din Oradea
grid.19822.30,Birmingham College of Art
grid.19822.30,University of Central England in Birmingham
grid.19822.30,Birmingham Polytechnic
grid.19843.37,Athena RIC
grid.19873.34,North Staffordshire Polytechnic
grid.20055.32,Statens Väg- & Transportforskningsinstitut VTI
grid.20055.32,Sweden VTI 
grid.20256.33,Nihon genshiryoku kenkyū kaihatsu kikō
grid.20258.3d,Karlstads universitet
grid.20478.39,Museum of Natural Sciences
grid.20501.36,Higher Medical Institute of Varna
grid.20501.36,MU-Varna
grid.20513.35,Běijīng Shīfàn Dàxué
grid.20515.33,Tsukuba daigaku
grid.20561.30,South China Agricultural College
grid.20653.32,Lietuvos energetikos institutas
grid.20709.3c,Finnish IT center for science
grid.20861.3d,Caltech
grid.21003.30,University of Cassino
grid.21006.35,Canterbury College
grid.21051.37,Fachhochschule Furtwangen
grid.21113.30,Széchenyi István Egyetem
grid.21166.32,IDC Herzliya
grid.21166.32,HaMerkaz HaBein Tkhumi Herzliya
grid.21200.31,Dokuz Eylül Üniversitesi
grid.21206.37,Centre Tecnològic Ascamm
grid.21600.35,ТУ – Варна
grid.21600.35,TU – Varna
grid.21678.3a,Univerzita Tomáše Bati ve Zlíně
grid.21729.3f,Columbia University in the City of New York
grid.21729.3f,Columbia College
grid.21729.3f,King's College 
grid.21798.35,Institute for Applied Automotive Research
grid.21940.3e,William Marsh Rice University
grid.21941.3f,Busshitsu-zairyō kenkyū kikō
grid.22023.31,Railtrack
grid.22040.34,Laboratoire national d'essais
grid.22248.3e,"Universitatea de Medicină și Farmacie ""Victor Babeş"", Timișoara"
grid.22254.33,Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu
grid.22266.32,Trakiyski universitet
grid.22266.32,Thrace University
grid.22459.38,Royal Research Foundation
grid.22526.31,Planung Transport Verkehr AG
grid.22539.3f,Chemický ústav SAV
grid.22557.37,Západočeská Univerzita v Plzni
grid.22642.30,Luonnonvarakeskus
grid.22657.34,Latvijas Lauksaimniecības universitāte
grid.22736.32,Matforskningsinstituttet
grid.22736.32,"Norwegian Institute of Food, Fisheries and Aquaculture Research"
grid.22935.3f,Zhōngguó Nóngyè Dàxué
grid.22939.33,Sveučilište u Rijeci
grid.23048.3d,Universitetet i Agder
grid.23218.3a,GÉANT
grid.23231.31,London Met
grid.23378.3d,Oilthigh na Gàidhealtachd agus nan Eilean
grid.23618.3e,Department of Fisheries and Oceans
grid.23695.3b,York Diocesan College
grid.24194.3a,Gregor Mendel Institute of Molecular Plant Biology
grid.24349.38,Regional Technical College
grid.24349.38,Institiúid Teicneolaíochta Phort Láirge
grid.24377.35,Univerzita Mateja Bela
grid.24377.35,Matej Bel
grid.24381.3c,Karolinska Universitetssjukhuset
grid.24516.34,同济大学
grid.24516.34,同濟大學
grid.24516.34,Tóngjì Dàxué
grid.24539.39,Zhōngguó Rénmín Dàxué
grid.24539.39,People's University of China
grid.24753.37,Tropical Agricultural Research and Higher Education Center
grid.24956.3c,İstanbul Bilgi Üniversitesi
grid.24999.3f,GKSS-Forschungszentrum Geesthacht
grid.25055.37,Memorial University
grid.25588.32,Uniwersytet w Białymstoku
grid.25769.3f,Gazi Üniversitesi
grid.25879.31,UPenn
grid.25996.31,Consorzio Nazionale Interuniversitario per le Scienze Fisiche della Materia
grid.26083.3f,KubSU
grid.26090.3d,Clemson Agricultural College of South Carolina
grid.26091.3c,Keiō Gijuku Daigaku
grid.26193.3f,Ivane Javaxishvilis saxelobis Tbilisis saxelmts'ipo universit'et'i
grid.26193.3f,Ivane Javakhishvili Tbilisi State University
grid.26194.38,Yerevan Polytechnic Institute
grid.26194.38,National Polytechnic University of Armenia
grid.26306.31,Scottish Fisheries Protection Agency
grid.26811.3c,Universitat Miguel Hernández d'Elx
grid.26999.3d,UTokyo
grid.26999.3d,Todai
